pair_id,image_id,stage,method,attempted,status,accepted,score,score_delta,dx_px,dy_px,scale,rotation_deg,match_count,inlier_count,transform_matrix_json,reason
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,opencv,opencv_phase_correlation,yes,used_as_seed,no,0.642901,0.117335,-0.46702,16.40997,1.0,0.0,,,"[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -282.60426703], [0.0, 0.0, 1.0]]",OpenCV translation was used to seed the final fine-grid crop search; the final accepted candidate is the refined fine-grid result.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,opencv,opencv_ecc_translation,yes,candidate,no,0.637233,0.111668,3.194005,16.738323,1.0,0.0,,,"[[0.35242291, 0.0, -391.54185022], [0.0, 0.3523744, -282.95664143], [0.0, 0.0, 1.0]]",OpenCV-derived local translation candidate; still requires visual review because thermal-visible alignment is cross-modal.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,opencv,opencv_orb_feature_matching,yes,rejected,no,0.414033,-0.111533,39.40556,27.659881,1.0,0.0,80,59,"[[0.35242291, 0.0, -404.22907489], [0.0, 0.3523744, -286.83275981], [0.0, 0.0, 1.0]]",Rejected because the OpenCV candidate did not improve the score: delta=-0.111533.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,yes,0.648975,0.12341,-0.4670204275428169,16.409970445062665,0.99,0.0,,,"[[0.35614914, 0.0, -397.81858653], [0.0, 0.35605007, -288.40055633], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid,skimage_edge_grid_search,yes,candidate,no,0.647806,0.122241,0.0,20.0,0.99,0.0,,,"[[0.35595106, 0.0, -397.59733037], [0.0, 0.35580264, -289.26754691], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.642901,0.117335,-0.4670204275428169,16.409970445062665,1.0,0.0,,,"[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -282.60426703], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.616005,0.090439,-0.4670204275428169,26.409970445062665,1.0,0.0,,,"[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -286.12801101], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid,skimage_edge_grid_search,yes,candidate,no,0.608129,0.082564,0.0,20.0,0.98,0.0,,,"[[0.35955056, 0.0, -404.85393258], [0.0, 0.35980323, -295.39845397], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid,skimage_edge_grid_search,yes,candidate,no,0.606104,0.080538,0.0,10.0,0.99,0.0,,,"[[0.35595106, 0.0, -397.59733037], [0.0, 0.35580264, -285.7095205], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.600696,0.07513,-0.4670204275428169,26.409970445062665,0.99,0.0,,,"[[0.35614914, 0.0, -397.81858653], [0.0, 0.35605007, -291.96105702], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.597695,0.07213,-0.4670204275428169,16.409970445062665,1.01,0.0,,,"[[0.34877384, 0.0, -382.95367847], [0.0, 0.34877384, -277.27520436], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid,skimage_edge_grid_search,yes,candidate,no,0.589562,0.063997,0.0,10.0,0.98,0.0,,,"[[0.35955056, 0.0, -404.85393258], [0.0, 0.35980323, -291.80042164], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.585924,0.060358,-0.4670204275428169,26.409970445062665,1.01,0.0,,,"[[0.34877384, 0.0, -382.95367847], [0.0, 0.34877384, -280.76294278], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.583634,0.058069,-10.467020427542817,16.409970445062665,1.0,0.0,,,"[[0.35242291, 0.0, -386.96035242], [0.0, 0.3523744, -282.60426703], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.579097,0.053531,9.532979572457183,16.409970445062665,0.99,0.0,,,"[[0.35614914, 0.0, -401.38007791], [0.0, 0.35605007, -288.40055633], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.578766,0.053201,-0.4670204275428169,16.409970445062665,0.99,-1.0,,,"[[0.35609489, 0.00621393, -407.21035906], [-0.00621566, 0.35599584, -275.78997977], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,yes,candidate,no,0.578312,0.052747,9.532979572457183,16.409970445062665,1.0,0.0,,,"[[0.35242291, 0.0, -394.00881057], [0.0, 0.3523744, -282.60426703], [0.0, 0.0, 1.0]]",Top local edge/gradient search candidate for manual review.
